"Channel1","Channel2","Channel3","Channel4","Channel5","Channel6","Channel7","Channel8","Class","Label"
254,200,253,114,244,118,254,156,0,"1"
183,202,250,114,253,82,232,202,0,"1"
255,114,103,206,255,118,237,86,0,"1"
227,114,227,238,54,82,251,202,0,"1"
251,118,227,247,190,47,255,82,0,"1"
242,72,255,118,244,86,242,216,0,"1"
94,147,255,86,231,86,227,198,0,"1"
242,200,250,118,250,86,250,82,0,"1"
243,118,254,114,119,234,250,82,0,"1"
182,254,82,155,220,111,119,114,0,"1"
250,118,122,254,82,254,118,243,0,"1"
106,250,82,250,90,254,114,175,0,"1"
222,255,118,247,86,250,114,247,0,"1"
254,86,250,200,143,158,114,244,0,"1"
88,94,78,255,82,227,82,251,0,"1"
82,254,72,254,114,115,254,200,0,"1"
251,82,246,72,246,118,251,86,0,"1"
183,220,254,118,236,86,231,82,0,"1"
227,114,246,82,247,118,227,150,0,"1"
171,114,243,88,250,114,242,202,0,"1"
255,118,247,114,255,86,243,114,0,"1"
250,82,154,215,254,114,246,202,0,"1"
250,86,250,118,250,202,31,228,0,"1"
114,227,114,250,202,250,82,250,0,"1"
82,250,218,222,94,255,82,231,0,"1"
118,250,90,251,118,231,118,239,0,"1"
114,91,133,255,86,242,114,231,0,"1"
216,251,86,254,114,227,192,246,0,"1"
254,114,242,114,244,250,250,82,0,"1"
250,220,250,186,254,126,250,122,0,"1"
254,82,254,246,246,82,191,31,1,"1"
82,247,82,251,82,247,86,231,1,"1"
118,247,82,255,86,231,238,254,1,"1"
82,226,204,254,216,251,118,230,1,"1"
82,246,86,226,82,252,82,250,1,"1"
86,226,118,254,118,254,168,255,1,"1"
86,244,72,255,41,114,250,118,1,"1"
230,118,250,90,254,114,250,88,1,"1"
254,41,42,247,255,86,246,86,1,"1"
254,114,255,118,226,82,251,118,1,"1"
243,114,250,206,249,86,255,206,1,"1"
250,118,226,82,250,114,254,86,1,"1"
246,114,254,86,116,105,251,118,1,"1"
250,202,126,232,255,200,254,118,1,"1"
246,90,254,82,246,114,255,200,1,"1"
126,57,250,114,231,114,247,78,1,"1"
249,86,254,202,254,82,243,114,1,"1"
241,167,254,74,243,218,241,114,1,"1"
241,118,243,82,250,200,254,114,1,"1"
241,118,254,82,255,82,241,86,1,"1"
226,232,254,118,255,86,255,90,1,"1"
254,218,126,102,114,226,114,226,1,"1"
90,249,114,227,86,234,118,227,1,"1"
202,255,114,254,82,231,114,231,1,"1"
236,187,184,250,114,227,118,255,1,"1"
114,82,254,118,250,114,246,74,1,"1"
159,78,255,74,250,82,250,206,1,"1"
240,114,254,86,254,82,254,118,1,"1"
251,114,243,82,126,200,254,82,1,"1"
225,114,247,198,225,114,226,216,1,"1"
254,86,250,118,254,82,251,118,2,"1"
251,86,245,86,250,88,254,82,2,"1"
118,51,255,114,250,196,250,82,2,"1"
252,118,227,118,254,86,245,118,2,"1"
103,94,126,222,218,246,114,250,2,"1"
94,247,82,227,72,254,114,227,2,"1"
82,254,118,254,118,254,224,250,2,"1"
86,126,235,155,213,218,247,82,2,"1"
227,114,244,114,250,114,254,82,2,"1"
254,88,52,234,254,114,231,110,2,"1"
244,86,231,118,243,118,247,200,2,"1"
247,118,245,86,239,90,182,203,2,"1"
182,103,27,118,239,118,254,72,2,"1"
254,114,254,90,245,255,118,250,2,"1"
74,245,114,245,114,254,218,53,2,"1"
187,250,82,254,82,250,200,245,2,"1"
82,255,82,245,82,246,86,231,2,"1"
114,252,250,52,170,254,86,232,2,"1"
118,255,82,174,123,255,118,245,2,"1"
118,254,118,252,234,118,182,74,2,"1"
254,114,243,82,245,82,254,86,2,"1"
238,86,250,86,226,216,241,90,2,"1"
115,38,122,231,90,255,126,226,2,"1"
94,230,94,254,126,226,122,242,2,"1"
94,226,122,242,72,92,38,122,2,"1"
250,90,250,122,250,126,254,94,2,"1"
246,122,247,74,255,122,125,166,2,"1"
126,254,90,255,90,234,122,238,2,"1"
90,238,94,254,122,254,90,255,2,"1"
122,243,128,122,234,251,90,235,2,"1"
254,90,244,200,245,118,244,82,3,"1"
170,66,253,118,247,130,247,86,3,"1"
255,82,227,86,225,118,250,216,3,"1"
251,72,155,154,255,114,31,219,3,"1"
254,82,227,82,250,118,255,114,3,"1"
251,86,238,118,247,206,251,82,3,"1"
255,118,54,58,250,82,249,118,3,"1"
242,118,249,82,254,94,244,122,3,"1"
243,122,247,88,246,94,251,122,3,"1"
250,216,247,126,247,94,254,90,3,"1"
254,122,254,94,247,88,245,122,3,"1"
238,122,243,90,234,165,250,126,3,"1"
243,126,247,122,234,94,238,122,3,"1"
243,250,250,90,243,122,251,90,3,"1"
245,118,240,118,251,196,245,118,3,"1"
253,118,234,200,122,83,244,114,3,"1"
251,216,253,204,250,90,239,130,3,"1"
249,126,243,122,240,90,250,94,3,"1"
251,122,255,94,246,122,247,126,3,"1"
235,222,58,111,94,239,114,239,3,"1"
114,229,118,243,72,255,202,253,3,"1"
86,255,118,122,41,254,114,247,3,"1"
82,227,86,239,86,126,126,255,3,"1"
122,250,94,244,126,238,220,122,3,"1"
232,254,90,247,94,238,90,250,3,"1"
162,251,90,243,94,227,90,255,3,"1"
94,243,94,238,74,251,94,247,3,"1"
126,254,126,247,90,247,90,238,3,"1"
222,247,122,247,92,117,41,255,3,"1"
90,234,94,240,220,245,122,244,3,"1"
254,210,249,94,115,40,215,36,4,"1"
214,255,242,255,210,121,104,255,4,"1"
242,249,246,239,74,122,83,153,4,"1"
197,246,250,222,250,126,206,248,4,"1"
246,255,210,254,210,255,165,88,4,"1"
244,207,74,242,255,214,228,246,4,"1"
230,246,226,246,254,78,241,242,4,"1"
250,214,255,210,226,162,255,75,4,"1"
254,210,239,254,254,210,254,210,4,"1"
234,242,252,246,238,210,224,246,4,"1"
251,210,126,82,191,185,210,242,4,"1"
222,254,242,254,214,252,204,254,4,"1"
246,246,94,254,169,248,210,126,4,"1"
86,255,246,242,242,254,214,238,4,"1"
246,238,210,127,233,255,214,234,4,"1"
242,254,210,234,166,255,242,234,4,"1"
214,254,246,127,206,254,242,254,4,"1"
210,255,128,246,206,254,214,246,4,"1"
78,248,242,254,220,254,214,238,4,"1"
214,245,210,248,214,250,78,245,4,"1"
242,183,114,175,238,242,234,246,4,"1"
235,242,239,246,252,214,243,214,4,"1"
186,168,248,204,250,246,123,94,4,"1"
255,214,242,214,255,204,253,210,4,"1"
250,214,234,74,250,214,238,214,4,"1"
238,78,122,114,255,250,126,56,4,"1"
248,254,254,202,255,254,250,218,4,"1"
254,94,254,82,250,104,57,220,4,"1"
114,255,114,239,114,254,82,254,4,"1"
118,251,94,250,218,74,102,118,4,"1"
254,114,227,121,250,204,250,82,5,"1"
235,82,246,206,250,78,126,78,5,"1"
30,238,82,230,118,253,118,231,5,"1"
114,250,82,226,82,235,226,249,5,"1"
82,254,206,127,110,255,114,254,5,"1"
211,254,86,253,222,126,222,11,5,"1"
167,118,242,92,252,118,250,118,5,"1"
242,220,254,82,234,104,250,118,5,"1"
246,106,112,115,251,118,237,222,5,"1"
253,114,252,86,31,206,255,78,5,"1"
254,86,234,94,119,120,155,41,5,"1"
255,118,252,118,234,82,254,118,5,"1"
255,92,245,119,250,204,247,82,5,"1"
89,206,95,87,86,235,118,251,5,"1"
118,235,94,254,82,234,250,254,5,"1"
118,234,114,243,122,245,184,254,5,"1"
118,251,86,244,86,250,94,253,5,"1"
14,171,90,253,126,254,106,244,5,"1"
72,245,90,243,126,239,122,250,5,"1"
90,255,94,242,88,245,90,239,5,"1"
122,127,232,251,126,239,110,234,5,"1"
90,255,200,255,126,253,126,243,5,"1"
200,250,126,226,90,255,126,238,5,"1"
132,251,122,245,82,254,204,251,5,"1"
86,237,114,116,250,23,111,255,5,"1"
118,235,86,53,169,143,242,82,5,"1"
231,86,226,118,230,220,254,57,5,"1"
254,114,235,82,245,13,206,72,5,"1"
86,239,118,251,94,254,114,252,5,"1"
118,246,206,247,114,254,76,59,5,"1"
254,82,243,114,235,82,250,82,6,"1"
251,86,243,130,251,206,247,118,6,"1"
238,90,255,114,255,86,243,86,6,"1"
235,86,244,114,235,94,122,35,6,"1"
255,118,255,222,62,167,255,82,6,"1"
254,114,250,92,119,107,249,114,6,"1"
228,114,89,86,62,195,255,114,6,"1"
235,204,83,215,207,247,118,244,6,"1"
86,239,82,250,118,50,106,255,6,"1"
82,117,118,159,28,254,92,255,6,"1"
86,255,86,249,92,249,118,234,6,"1"
230,251,94,249,82,255,82,246,6,"1"
106,127,171,249,114,235,228,251,6,"1"
114,255,114,119,175,248,86,251,6,"1"
118,255,118,240,250,254,86,243,6,"1"
122,245,82,254,82,238,106,182,6,"1"
86,254,114,251,114,250,82,255,6,"1"
82,121,202,31,37,86,82,231,6,"1"
114,251,114,179,42,255,82,227,6,"1"
86,243,82,230,94,241,82,255,6,"1"
82,226,82,251,78,254,43,153,6,"1"
